,Titulo,Ingredientes,Elaboracion
918,tamales de flores de calabaza,"['para 6 personas', '30 flores de calabaza, sin pedunculo, ni pistilo', '1 kilogramo de masa de maiz', '300 gramos de manteca de cerdo', '1 taza de agua', '300 gramos de queso fresco, cortado en 15 trozos', '15 hojas de epazote frescas', '2 chiles jalapenos, sin venas, cortados en rajas', 'hojas de totomoxtle, remojadas en agua', 'sal al gusto']",": en un cuenco coloque la manteca, bata muy bien con las manos o  con la ayuda de una pala de madera, hasta que la manteca cambie  su color y se note esponjada. agregue la masa, agua y sal, mezcle  hasta que se forme una masa tersa y sin grumos, reserve. en una superficie plana coloque una hoja de totomoxtle y vierta  una cucharada grande de masa, dos flores, un trozo de queso, una  hoja de epazote y una raja de chile, doble dos extremos de la hoja  al centro y cierre con la punta al centro para formar un envuelto. coloque los tamales parados en una vaporera y cueza durante  una hora hasta que esten listos y se despegue facilmente la hoja,  retire del fuego. sirva los tamales bien calientes. los tamales con flores comestibles son comunes en la cocina  veracruzana, pues existen variantes y rellenos diversos, lo cual de- muestra dos cosas: la versatilidad de las flores en la cocina y su  relacion con lo ritual en sus preparaciones. 153"
919,tamales de flores de calabaza y salsa verde ,"['para 6 personas', '30 flores de calabaza, sin  1 taza de caldo de puerco', 'pedunculo, ni pistilo 250 gramos de manteca de ', '5 tomates verdes, hervidos cerdo', ' 1/4  de cebolla blanca 500 gramos de pulpa de cerdo, ', '1 chile verde jalapeno, hervido cocida y cortada en trozos', '1 diente de ajo hojas de totomoxtle, remojadas ', '1 ramillete de cilantro en agua', '1 cucharada de aceite sal al gusto', '1 kilogramo de masa de maiz']",": muela los tomates verdes, cebolla, chile, ajo y cilantro con un poco  de agua hasta obtener una salsa, reserve. luego caliente el aceite  en una cacerola y vierta la salsa, cocine por veinte minutos. en un cuenco coloque la manteca, bata muy bien con las ma- nos o con la ayuda de una pala de madera, hasta que la manteca  cambie su color y se note esponjada. agregue la masa, caldo y sal,  mezcle hasta que se forme una masa tersa y sin grumos, reserve. en una superficie plana coloque una hoja de totomoxtle y vier- ta una cucharada grande de masa, dos flores, un trozo de carne y  salsa verde, doble dos extremos de la hojas al centro y cierre con  la punta al centro para formar un envuelto. coloque los tamales  parados en una vaporera y cueza durante una hora hasta que esten  cocidos y se despegue facilmente la hoja, retire del fuego. sirva los  tamales bien calientes. 154"
920,tamal de cazuela con flores de calabaza,"['para 6 personas', '30 flores de calabaza, sin pedunculo, ni pistilo', '5 tomates verdes, hervidos', ' 1/4  de cebolla blanca', '1 chile verde jalapeno, hervido', '1 diente de ajo', '1 ramillete de cilantro', '3 cucharadas de aceite', '1 cebolla blanca, fileteada', '1 kilogramo de masa de maiz', '2 tazas de caldo de pollo', '250 gramos de manteca de cerdo', '1 hoja de platano, asada', '300 gramos de pechuga de pollo, cocida y deshebrada', '3 hojas de acuyo', 'sal al gusto']",": muela los tomates verdes, cebolla, chile, ajo y cilantro con un poco  de agua hasta obtener una salsa, reserve. caliente una cucharada de aceite en una cacerola y vierta la  salsa, cocine por veinte minutos a fuego medio, anada sal al gusto  y reserve. caliente dos cucharadas de aceite en una cazuela de barro y  acitrone la cebolla, anada las flores, cocine hasta que esten suaves,  rectifique de sal y reserve. en un cuenco coloque la masa, caldo y sal, mezcle hasta que  se forme una masa con consistencia de atole y sin grumos, reserve. caliente la mezcla en una cazuela de barro a fuego medio,  155"
921,"cuando comience a hervir anada la manteca y mezcle muy bien, ","['para formar capas. meta al horno a 180 grados por cincuenta mi-', 'nutos o hasta que este ligeramente dorado.', 'sirva el tamal al centro de la mesa o una porcion en cada plato.', 'los tamales de cazuela pertenecen a la region sotaventina, ', 'donde se erigen con fina singularidad entre el universo de la coci-', 'na mexicana. su nombre proviene del recipiente donde se cuecen ', 'y sirven a la mesa, no es un tamal que se envuelva en porciones ']"," de gran tamano que se elabora  en una cazuela de barro. esta receta representa toda una disertacion sobre las flores en  la cocina veracruzana. en los tamales de cazuela del sotavento  existen recetas con flores de izote, pero no con flores de calabaza,  pues no forman parte de la despensa de los afromestizos, aunque  el fruto; es decir, la calabaza si se encuentre, la flor no se concibe  como comestible. esto no quiere decir que no consuman flores,  sino que el conocimiento sobre las variedades comestibles varia  de pueblo en pueblo. de la cazuela se cambio al refractario y se compuso en varias  capas de relleno. esto ocurre por la migracion de la receta de la  costa a las montanas, donde la receta sufre un cambio impresio- nante, acorde a las mesas y usanzas de ciudades como xalapa, asi  como su aficion a ciertas flores. 156"
922,dulce de ciruelas y flor de framboyan,"['para 4 personas', '2 litros de agua', '1 piloncillo, rallado', '1 kilogramo de ciruela', '12 flores de framboyan, sin pedunculos, ni pistilos']",": en una olla ponga a hervir el agua con el piloncillo hasta que se  disuelva, anada las ciruelas y flores, mantenga en ebullicion hasta  que obtenga una miel ligeramente espesa y retire del fuego. sirva en un cuenco las ciruelas con las flores o guarde en fras- cos de vidrio. 158"
923,tamales de flor de quebrancho,"['para 4 personas', '2 tazas de flores de quebrancho, sin pedunculo, ni pistilo', '2 chiles color, asados', '5 xonacates, troceados', '1 kilogramo de masa de maiz', ' 1/2  taza de agua', 'hojas de totomoxtle, remojadas en agua', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los chiles y xonacates con un poco de agua hasta obtener  una salsa espesa, reserve. mezcle las flores con la salsa y reserve. en un cuenco coloque la masa, agua y sal, mezcle con las ma- nos hasta que se forme una masa tersa y sin grumos, reserve. en una superficie plana coloque una hoja de totomoxtle, tome  una bolita de masa de unos cincuenta gramos y haga una tortillita,  coloque al interior de la hoja, anada una porcion de flores con sal- sa, doble dos extremos de la hoja al centro y cierre con la punta al  centro para formar un envuelto. coloque los tamales parados en una vaporera y cueza por una  hora hasta que esten listos y se despegue facilmente la hoja, retire  del fuego. sirva los tamales bien calientes. 160"
924,flores de quebrancho capeadas con caldillo,"['para 4 personas', '4 tazas de flores,* sin tallo,  1 diente de ajo, hervido', 'pedunculo, ni pistilo 50 gramos de masa de maiz', '4 huevos 1 rama de epazote', 'harina de trigo 2 cucharadas de aceite', 'aceite o manteca de cerdo para  sal al gusto', 'freir', '4 chiles color, asados y hervidos']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los chiles, ajo y agua, hasta formar una salsa, reserve. en una cacerola caliente el aceite y vierta la salsa, hierva por  veinte minutos a fuego manso, anadiendo agua si fuera necesario,  anada la masa desleida y epazote, mueva constantemente y rectifi- que de sal. cuando espese ligeramente retire del fuego. en un tazon coloque las claras y bata vigorosamente hasta al- canzar el punto de turron, anada las yemas y una pizca de sal,  mezcle con ayuda de una pala o cuchara, hagalo cuidadosamente  para no quitarle aire al capeado. pase por harina una porcion de  las flores y luego por el capeado. en un sarten caliente suficiente aceite y fria las flores, vertien- do un poco de aceite por encima y dando vueltas ocasionalmente  hasta que esten ligeramente doradas, escurra para quitar el exceso  de grasa. sirva en suficiente caldillo y acompane con tortillas recien he- chas. 161"
925,chileatole de frijol con gasparitos,"['para 4 personas', '1 taza de flores de gasparito, sin pedunculo, ni pistilo', '2 chiles secos (chile chipotle), asados', '1 taza de frijoles negros', '3 litros de agua', '100 gramos de masa de maiz', '1 ramillete de cilantro, finamente picado', 'sal al gusto']",": muela los chiles con un poco de agua hasta obtener una salsa. en una olla ponga a hervir el agua con los frijoles, cocine por  una hora o hasta que los frijoles esten suaves, agregue las flores,  masa desleida en un poco de agua y cilantro, cocine por diez minu- tos mas hasta que las flores esten suaves y se espese el chileatole,  rectifique la sal, retire del fuego. sirva el chileatole con suficientes flores y frijoles, acompane  con tortillas recien hechas. la palabra chileatole proviene del nahuatl chilli; chile y ato- lli; atole; es decir, un atole picoso. en esencia, son preparaciones  caldosas, con chiles molidos y espesados con masa de maiz o elote  molido, que pueden servirse solos o con alguna carne o verdura, e  incluso algun endulzante. en xalapa y sus alrededores, los chileatoles difieren de las ver- siones de otras partes del pais. son caldos ligeramente espesos (con  masa de maiz, elote molido, tortillas molidas, orejitas o bolitas de  masa, o sin ninguno de los anteriores) y picosos o con chiles molidos,  a los cuales se anaden diversos ingredientes como carnes, verdu- ras, hongos, leche, azucar o panela, especias y, por supuesto, flores.  163"
926,chileatole de gasparitos,"['para 4 personas', '1 taza de flores de gasparito, sin pedunculo, ni pistilo', '2 chiles anchos, asados', '1 chile seco, asado', '2 jitomates guajillos, asados', '1 diente de ajo, asado', '2 litros de agua', '500 gramos de costilla de cerdo, en trozos', ' 1/4  de cebolla blanca', '5 hojas de epazote', 'sal al gusto']",": muela los chiles, jitomate y ajo con un poco de agua hasta obtener  una salsa. en una olla ponga los dos litros de agua, costilla, cebolla, un  diente de ajo y sal; deje hervir por cincuenta minutos, anada la  salsa y flores, cocine por otros veinte minutos mas y rectifique de  sal, agregue el epazote y retire del fuego. sirva el chileatole con costilla y suficientes flores. acompane  con tortillas recien hechas. en esta receta no se usa ningun espesante, como masa de maiz  desleida, bolitas de masa o elote molido. tan solo la salsa le da una  consistencia ligeramente espesa. las variedades de flores comestibles predilectas para hacer  chileatoles  son  gasparitos  (erythrina  americana),  izote  (yucca  guatemalensis), calabaza (cucurbita pepo) y frijol (phaseolus coc- cineus); todos estos difieren unos de otros en cuanto a ingredientes  o preparacion. 164"
927,caldo de habas con gasparitos,"['para 4 personas', '1 taza de gasparitos, sin pedunculo, ni pistilo', '2 litros de agua', '1 taza de habas', '2 jitomates guajillos, finamente picados', ' 1/4  de cebolla blanca, finamente picada', '1 diente de ajo', '1 ramillete de oregano', '1 ramillete de tomillo', '1 ramillete de hierbabuena', '1 ramillete de cilantro criollo', 'sal al gusto']",": en una olla ponga a hervir el agua con las habas, cocine por una  hora o hasta que las habas se desbaraten y espesen el caldo, agre- gue las flores, jitomate, cebolla y ajo, cocine por diez minutos mas  hasta que las flores esten suaves, anada las hierbas de olor y recti- fique la sal, retire del fuego. sirva el caldo con suficientes flores, acompane con tortillas re- cien hechas. en el mercado, durante los meses de octubre a enero, se puede  observar a las marchantas arribar con sus costalitos atiborrados de  unas singulares florecitas de color rojo y forma alargada que colo- can pacientemente en montoncitos para ofrecer a los transeuntes. 165"
928,tamales de gasparitos,"['para 6 personas', '2 tazas de gasparitos, sin  1 kilogramo de masa de maiz', 'pedunculo, ni pistilo 300 gramos de manteca de ', '4 chiles anchos, sin semillas,  cerdo', 'asados 1 taza de agua', '10 chiles comapenos, asados hojas de totomoxtle, remojadas ', '1 diente de ajo en agua', ' 1/4  de cebolla blanca sal al gusto', '1 cucharada de aceite']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los chiles, cebolla y ajo con un poco de agua hasta obte- ner una salsa, reserve. caliente el aceite en una cacerola y vierta  la salsa, cocine por veinte minutos a fuego medio, anada sal al  gusto y reserve. en un cuenco coloque la manteca, bata muy bien con las ma- nos o con la ayuda de una pala de madera, hasta que la manteca  cambie su color y se note esponjada. agregue la masa, agua y sal;  mezcle hasta que se forme una masa tersa y sin grumos, reserve. en una superficie plana coloque una hoja de totomoxtle y vierta  una cucharada grande de masa, una porcion de flores y salsa, do- ble dos extremos de la hoja al centro y cierre con la punta al centro  para formar un envuelto. coloque los tamales parados en una vaporera y cueza por una  hora hasta que esten cocidos y se despegue facilmente la hoja,  retire del fuego. sirva los tamales bien calientes. 166"
929,tamales de pemuch,"['para 6 personas', '2 tazas de pemuch, sin  1 taza de frijoles, cocidos', 'pedunculo, ni pistilo 1 ramillete de cilantro criollo, ', '15 chiles santa maria, asados finamente picado', '200 gramos de ajonjoli, tostado hojas de papatla, asadas', '1 kilogramo de masa de maiz sal al gusto', '1 taza de agua']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los chiles y ajonjoli con un poco de agua hasta obtener  una salsa espesa, reserve. mezcle las flores, salsa, frijoles y cilantro, reserve. en un cuenco coloque la masa, agua y sal, mezcle con las ma- nos hasta que se forme una masa tersa y sin grumos, reserve. en una superficie plana coloque una hoja de papatla, tome una  bolita de masa de unos cincuenta gramos, haga una tortillita y co- loque al interior de la hoja, anada una porcion de flores con salsa,  doble dos extremos de la hoja al centro y repita el proceso con los  lados faltantes para formar un envuelto. coloque los tamales parados en una vaporera y cueza por una  hora hasta que esten listos y se despegue facilmente la hoja, retire  del fuego. sirva los tamales bien calientes. algunas otras formas de este mismo tamal en la ciudad o mer- cados de la huasteca baja usan manteca y cueritos de cerdo. 167"
930,comida de pemuches,"['para 4 personas', '2 tazas de pemuches, sin pedunculo, ni pistilo', '1 taza de frijoles, cocidos', '2 chiles guajillos, sin semillas, hervidos', '2 chiles de arbol, sin semillas, hervidos', '1 diente de ajo', ' 1/2  cebolla blanca, finamente picada', '2 cucharadas de aceite vegetal', '5 hojas de epazote', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los chiles y ajo con un poco de agua hasta obtener una  salsa, reserve. caliente el aceite en una cacerola, acitrone la cebolla, anada la  salsa, hierva por diez minutos, anada las flores, frijoles y epazote;  mezcle bien y rectifique de sal, reserve. sirva suficientes flores con salsa. acompane con tortillas recien  hechas o bocoles. aunque las comidas pueden ser cotidianas entre los grupos na- huas de la huasteca baja, tambien son alimentos rituales, cons- tantemente se emplean flores comestibles entre sus componentes. 168"
931,enmoladas de tlatonile con gasparito,"['para 4 personas', '1 taza de flores de gasparito, sin pedunculo, ni pistilo', '2 cucharadas de aceite vegetal', '3 jitomates guajillos, finamente picados', ' 1/2  cebolla blanca, finamente picada', '1 diente de ajo, finamente picado', '200 gramos de pipian', '100 gramos de ajonjoli', '2 chiles anchos', '10 chiles comapenos', '2 litros de caldo de pollo', '1 rama de epazote', '12 tortillas', 'aceite para freir', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. en una olla caliente el aceite y acitrone el ajo y cebolla, anada  el jitomate, cocine hasta que suelte su jugo y se haga un recaudo,  anada las flores, mezcle bien y rectifique de sal, reserve. tostar el pipian y ajonjoli en un comal, retirar el pipian cuando  este inflado y el ajonjoli cuando se dore ligeramente. ahi mismo  ase los chiles, sin quemar. muela el pipian, ajonjoli, chile ancho y comapeno con un poco  de agua, hasta obtener una salsa espesa, como una pasta, reserve. en una cazuela caliente el caldo y deslia la pasta de tlatonile,  anada el epazote y rectifique de sal. reserve caliente. 169"
932,lhallni' stapu,"['para 4 personas', '2 tazas de lhallni, sin pedunculo, ni pistilo', '1 chile verde', '2 litros de agua', '1 taza de frijoles negros', ' 1/4  de cebolla blanca, finamente picada', '1 ramillete de cilantro, finamente picado', 'sal al gusto']",": muela el chile con un poco de agua hasta obtener una salsa, re- serve. en una olla ponga a hervir el agua con los frijoles y flores,  cocine por una o dos horas o hasta que los frijoles esten suaves,  agregue el chile molido, cebolla picada y cilantro, cocine por diez  minutos mas y rectifique la sal, retire del fuego. sirva suficientes flores y frijoles con su caldo. acompane con  tortillas recien hechas. para los totonacos de la costa, lhallni es el nombre de la  erythrina spp. cuyas flores son comestibles y tambien las llaman  pemuches o pichocos. 171"
933,xoyomet con pichocos,"['para 4 personas', '2 tazas de pichocos, sin pedunculo, ni pistilo', '2 chiles de mole (chile chipotle), asados', '2 litros de agua', '1 taza de frijoles xoyomet', '2 cucharadas de manteca de cerdo', '1 ramillete de cilantro, finamente picado', 'sal al gusto']",": muela los chiles con un poco de agua hasta obtener una salsa,  reserve. en una olla ponga a hervir el agua con los frijoles, flores, chile  molido, manteca y cilantro, cocine por una hora o hasta que los  frijoles esten suaves, rectifique la sal y retire del fuego. sirva suficientes flores y frijoles con su caldo. acompane con  tortillas recien hechas. el antropologo marco antonio hernandez me conto que la pa- labra pichoco o pichojo proviene de la huasteca y significa comida  de puercos, basandose en la concepcion de los espanoles sobre las  flores comestibles; quiza porque efectivamente los puercos las co- mian o por una forma despectiva de referirse a la comida de los  indios. los xoyomet son una variedad de frijol gordo que cultivan los  totonacos. 172"
934,epemuch,"['para 4 personas', '2 tazas de pemuch, sin pedunculo, ni pistilo', '2 chiles verdes, en rajas', '2 litros de agua', '1 taza de frijoles gordos', '2 cucharadas de manteca de cerdo', '1 ramillete de cilantro, finamente picado', 'sal al gusto']",": en una olla ponga a hervir el agua con los frijoles, flores, chile,  manteca y cilantro, cocine por una o dos horas o hasta que los fri- joles esten suaves, rectifique la sal y retire del fuego. sirva suficientes flores y frijoles con su caldo. acompane con  tortillas recien hechas. el epemuch proviene del nahuatl (huasteca baja) que se divi- de en etl, frijol y pemuch, pemuche. 173"
935,tlatonil con gasparitos,"['para 4 personas', '2 tazas de gasparitos, sin pedunculo, ni pistilo', '1 taza de frijoles gordos, cocidos', '2 cucharadas de manteca de cerdo', '1 ramillete de cilantro, finamente picado', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los frijoles con un poco de agua y reserve. en una olla caliente la manteca y anada los frijoles, hierva por  diez minutos o hasta que espesen ligeramente, anada las flores y  cilantro, mezcle bien y rectifique de sal, reserve. sirva suficientes flores con frijoles. acompane con tortillas re- cien hechas. este tlatonile se prepara entre los grupos nahuas de zongolica,  resultando como una variante mas de este guiso o mulli de origen  prehispanico. 174"
936,tlapanili con pemuches,"['para 4 personas', '1 taza de pemuches, sin pedunculo, ni pistilo', '2 chiles verdes', '1 taza de frijoles negros', '3 litros de agua', '100 gramos de masa de maiz', '2 hojas de aguacate oloroso', 'sal al gusto']",": muela los chiles con un poco de agua hasta obtener una salsa. en una olla ponga a hervir el agua con los frijoles y flores,  cocine por una o dos horas o hasta que los frijoles esten suaves,  agregue la masa desleida en un poco de agua y hojas de aguacate,  cocine por diez minutos mas hasta que espese ligeramente el tla- panili, rectifique la sal y retire del fuego. sirva el tlapanili con suficientes flores y frijoles, acompane con  tortillas recien hechas. otra de las preparaciones primordiales de la cocina indigena  de la huasteca que se elabora con diferentes chiles, espesa con  masa de maiz y se anaden diferentes verduras, carnes o hierbas de  olor. tambien se anaden flores de pemuche (erythrina spp.) o ca- labaza (cucurbita pepo o c. maxima), demostrando la importancia  de este ingrediente en la cocina prehispanica. 175"
937,chiles rellenos de gasparitos,"['para 6 personas', '1 taza de gasparitos, sin pedunculo, ni pistilo', '12 chiles jalapenos, sin venas, ni semillas y cortados en t', '3 litros de agua', '3 cucharadas de sal', '3 cucharadas de azucar', '1 cucharada de aceite vegetal', ' 1/2  cebolla blanca chica, finamente picada', '1 diente de ajo, finamente picado', '4 jitomates guajillos maduros, finamente picados', '4 huevos', '100 gramos de harina de trigo', 'aceite para freir', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. en una olla hierva un litro de agua, anada los chiles, una cu- charada de sal y una cucharada de azucar, cuando suelte el primer  hervor escurra los chiles desechando el agua. repita este proceso  dos veces mas y deje escurrir bien. en una cacerola caliente el aceite, acitrone la cebolla y ajo,  anada los jitomates y una pizca de sal, cocine a fuego manso para  que el jitomate suelte su jugo y se haga un recaudo, agregue las flo- res, cocine por diez minutos hasta que la mezcla pierda humedad y  se sazone, rectifique la sal y retire del fuego. tome cada chile y coloque una cucharada del relleno en su  interior, evitando romper el chile y reserve. 176"
938,otros chiles rellenos de gasparitos ,"['para 6 personas', '1 taza de gasparitos, sin pedunculo, ni pistilo', '12 chiles jalapenos, sin venas, ni semillas y cortados en t', '3 litros de agua', '3 cucharadas de sal', '3 cucharadas de azucar', '1 cucharada de aceite vegetal', '1 diente de ajo, asado', '50 gramos de semillas de calabaza, tostadas', '1 chile ancho, asado y remojado en agua caliente', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. en una olla hierva un litro de agua, anada los chiles, una cu- charada de sal y una cucharada de azucar, cuando suelte el primer  hervor escurra los chiles desechando el agua. repita este proceso  dos veces mas y deje escurrir bien. muela las semillas de calabaza, chile ancho, ajo y un poco de  agua. en una cacerola coloque el pipian al fuego, hierva por unos  diez o veinte minutos a fuego bajo. anada los gasparitos y mezcle.  para terminar, sazone bien, retire del fuego y reserve. tome cada chile y coloque una cucharada del relleno en su  interior, evitando romper el chile, y acomode en un platon. sirva con tortillas recien hechas. otra maravillosa version de los chiles rellenos de flores en la  region cafetalera de las grandes montanas, veracruz. 178"
939,chiles rellenos de gasparitos y queso,"['para 6 personas', '1 taza de gasparitos, sin pedunculo, ni pistilo', '12 chiles jalapenos, sin venas, ni semillas y cortados en t', '1 litro de agua', '1 cucharada de sal', '1 cucharada de azucar', '1 cucharada de vinagre', '1 ramillete de tomillo fresco', '2 hojas de laurel', '1 diente de ajo', '1 cucharada de aceite vegetal', ' 1/2  cebolla blanca chica, finamente picada', '300 gramos de queso, cortado en 12 trozos', '12 hojas de epazote', '4 huevos', '100 gramos de harina de trigo', 'aceite para freir', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. en una olla hierva un litro de agua con sal, azucar, vinagre, to- millo, laurel y ajo; anada los chiles, cuando suelte el primer hervor  retire del fuego y deje reposar de 12 a 24 horas. escurra los chiles  desechando el agua. en una cacerola caliente el aceite y acitrone la cebolla; agregue  las flores, rectifique la sal y retire del fuego. tome cada chile y coloque una cucharada del relleno, un trozo  179"
940,tortitas de camarones y gasparitos,"['para 4 personas', '1 taza de pemuches, sin pedunculo, ni pistilo', '300 gramos de camaron fresco, sin cascaras ni cabezas,  ', 'finamente picado', '4 huevos', 'aceite vegetal o manteca de cerdo para freir', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. en un tazon mezcle las flores, camarones y huevos, agregue sal  al gusto y forme tortitas de cinco centimetros de diametro. en un sarten caliente suficiente aceite y fria las tortitas por  ambos lados hasta que esten ligeramente doradas, escurra para  quitar el exceso de grasa. sirva acompanado de alguna salsa, caldillo o frijoles de la olla. las tortitas de flores son una de las recetas mas comunes en  veracruz y mexico. de todas resaltan estas, pues anaden camaro- nes frescos o secos a las flores de gasparito o izote, bien recibidas  durante semana santa.  181"
941,tortitas de chorizo y gasparitos,"['para 4 personas', '1 taza de pemuches, sin pedunculo, ni pistilo', '300 gramos de chorizo o longaniza desmenuzada', '4 huevos', 'aceite vegetal o manteca de cerdo para freir', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. en un tazon mezcle las flores, chorizo y huevos, agregue sal al  gusto y forme tortitas de cinco centimetros de diametro. en un sarten caliente suficiente aceite y fria las tortitas por  ambos lados hasta que esten ligeramente doradas, escurra para  quitar el exceso de grasa. sirva acompanado de alguna salsa, caldillo o frijoles de la olla. otra version interesante de las tortitas con flores, pues anade  chorizo o longaniza. son mas comunes en zonas urbanas y casi  inexistentes en zonas rurales e indigenas. 182"
942,tesmole de equimitl,"['para 4 personas', '2 tazas de equimitl, sin pedunculo, ni pistilo', '4 muslos o piernas de pollo', '4 chiles serranos secos, asados', ' 1/4  de cebolla, asada', '1 diente de ajo, asado', '100 gramos de masa de maiz', '5 hojas de epazote fresco', 'sal al gusto']",": en una olla ponga las flores, cubralas con agua, agregue sal y deje  hervir hasta que esten blandas, escurra. muela los chiles, cebolla y ajo con un poco de agua hasta obte- ner una salsa, reserve. en una cazuela de barro ponga el pollo, cubra con agua, deje  hervir a fuego medio hasta que el pollo este cocido, anada salsa,  flores, epazote y masa desleida en un poco de agua, mezcle bien y  rectifique de sal. cuando este ligeramente espeso, retire del fuego. sirva una pieza de pollo con flores y suficiente salsa. acompane  con tortillas recien hechas. la palabra equimite o iquimite proviene del nahuatl equimitl,  siendo la forma para designar las flores de erythrina spp. este tesmole lo preparan los nahuas de zongolica. es comun  verlo sin uso de carne, tan solo las flores con el resto de ingredien- tes nos habla de su origen prehispanico. 183"
943,horchata con gardenias,"['para 6 personas ', ' ', ' 1/2  taza de flores de gardenia, sin pedunculos ', '500 gramos de arroz, remojado en agua ', '1 trocito de canela (opcional) ', '2.5 litros de agua ', ' 1/2  taza de azucar ']",": muela el arroz y canela con cuatro tazas de agua hasta que el arroz  se pulverice bien, reserve. en una jarra cuele el arroz molido y  deseche el bagazo. anada el resto del agua y azucar, mueva muy  bien con ayuda de una pala de madera para disolver, adicione las  flores y rectifique el dulzor. anada hielo si lo prefiere. 185"
944,caldo de cocuite,"['para 4 personas', '2 tazas de flores de cocuite, sin pedunculo, ni pistilo', '1 bolita de achiote (10 gramos)', '2 litros de agua', '500 gramos de costilla de cerdo', ' 1/2  cebolla blanca', '1 diente de ajo', 'sal al gusto']",": deslia el achiote en media taza de agua. en una olla ponga el agua, flores, costilla, cebolla, ajo, achiote  y sal, deje hervir por una hora o hasta que este suave la costilla,  retire del fuego. rectifique sazon. sirva el caldo con un trozo de costilla y flores. acompane con  tortillas recien hechas. ""las flores se deben despicar antes de comenzar a guisarse"",  dicen algunas mujeres al referirse a retirar el pedunculo y pistilo.  este caldo, como otras preparaciones del sur de veracruz, usan  una pasta de achiote local de buen aroma. es importante que no  se sustituya por las versiones comerciales que vienen especiadas. 187"
945,cocuite en escabeche,"['para 4 personas', '3 tazas de flores de cocuite, sin pedunculo, ni pistilo', '2 cucharadas de aceite vegetal', '1 cebolla blanca, fileteada', '1 diente de ajo, finamente picado', '1 taza de vinagre de manzana', ' 1/2  taza de agua', '1 ramita de oregano fresco', '1 ramita de perejil fresco', '4 pimientas', '1 clavo', '1 rajita de canela', 'sal al gusto']",": caliente el aceite en una cacerola, acitrone la cebolla y ajo, ana- da las flores, cocine hasta que esten suaves y agregue el vinagre,  agua, oregano, perejil, pimienta, clavo, canela y sal, hierva por  cinco minutos mas y rectifique de sal, reserve. sirva en un cuenco o guarde en frascos de vidrio. los escabeches tienen su origen en medio oriente, poste- riormente los agrega la cocina espanola a su compendio culina- rio. despues del descubrimiento de america, la influencia en los  pueblos que colonizaron es por demas evidente en casi todos los  aspectos sociales y culturales de los conquistados. el escabeche  viaja a donde le anaden ingredientes endemicos del nuevo mundo,  que formaban parte de la vida cotidiana y cosmovision de los pue- blos originarios. 188"
946,barbacoa de olla con flores de cocuite,"['para 6 personas', '2 tazas de flores de cocuite, sin pedunculo, ni pistilo', '8 chiles guajillos, sin semillas, asados', '2 chiles anchos, sin semillas, asados', '1 bolita de achiote (10 gramos)', '3 jitomates guajillos, hervidos', ' 1/2  cebolla blanca, hervida', '1 diente de ajo, hervido', '1 ramita de tomillo', '1 pizca de comino', '2 hojas de laurel', '2 hojas de aguacatillo', '2 kilogramos de carne de res con hueso (chamberete, costilla y ', 'espinazo)', '200 gramos de masa de maiz', 'sal al gusto']",": moler los chiles, achiote, jitomates, cebolla blanca, ajo, tomillo,  comino, laurel, hoja de aguacatillo y sal, hasta obtener una salsa  espesa. mezclar la carne y salsa, deje reposar por seis horas. incorpore la carne y flores en el interior de una olla de barro,  rectifique de sal, coloque la tapa, pacientemente acomode la masa  entre la olla y la tapa para sellar bien, ponga a fuego bajo por dos  horas. revise si la carne esta suave y retire del fuego, o mantenga  la coccion baja hasta que ablande. sirva una porcion de carne con suficientes flores. acompane  con tortillas recien hechas y frijoles caldosos. 189"
